rt56_state_id,rt56_file,aoe_state_id,aoe_file,match_method,owner
1,1-France.txt,1,1-France.txt,exact_label,FRA
10,10-Poland.txt,10,10-Poland.txt,exact_label,POL
100,100-Iceland.txt,100,100-Iceland.txt,exact_label,GER
1000,1000-Piaui.txt,937,937 - Piaui.txt,exact_label,BRA
1001,1001-Maranhao.txt,497,497-Maranhao.txt,exact_label,BRA
1002,1002-Parana.txt,944,944 - Parana.txt,exact_label,BRA
1003,1003-Ceara.txt,935,935 - Ceara.txt,exact_label,BRA
1004,1004-Paraiba.txt,,,owner_transition,BRA
1005,1005-Pernambuco.txt,936,936 - Pernambuco.txt,exact_label,BRA
1006,1006-Alagoas.txt,,,owner_transition,BRA
1007,1007-Bahrain.txt,1014,1014 - Bahrain.txt,exact_label,ENG
1008,1008-Faryab.txt,,,owner_transition,PER
1009,1009-Bamian.txt,,,owner_transition,PER
101,101-Greenland.txt,101,101-Greenland.txt,exact_label,DEN
1010,1010-Helmand.txt,,,owner_transition,PER
1011,1011-Alborz.txt,,,owner_transition,PER
1012,1012-Monaco.txt,,,rt56_owner,MNC
1013,1013-Sikkim.txt,985,985 - Sikkim.txt,exact_label,RAJ
1014,1014-Brunei.txt,1023,1023 - Brunei.txt,exact_label,JAP
1015,1015-San Marino.txt,,,rt56_owner,SAN
1016,1016-Jerusalem.txt,,,owner_transition,TUR
1017,1017-Beersheba.txt,,,owner_transition,TUR
1018,1018-Shanland.txt,,,owner_transition,RAJ
1019,1019-Sagaing.txt,998,998-Sagaing.txt,exact_label,RAJ
102,102-North-Eastern Slovenia.txt,102,102-North-Eastern Slovenia.txt,exact_label,YUG
1020,1020-Bago.txt,,,owner_transition,RAJ
1021,1021-Mafraq.txt,,,owner_transition,ENG
1022,1022-Maan.txt,,,owner_transition,ENG
1023,1023-Delaware.txt,,,owner_transition,USA
1024,1024-Bornholm.txt,910,910-Bornholm.txt,exact_label,DEN
1025,1025-Fyn.txt,911,911-Fyn.txt,exact_label,DEN
1026,1026-Ostergotland.txt,913,913-Ostergotland.txt,exact_label,SWE
1027,1027-JanMayen.txt,914,914-JanMayen.txt,exact_label,NOR
1028,1028-Dalarna.txt,916,916-Dalarna.txt,exact_label,SWE
1029,1029-Vasterbotten.txt,918,918-Vasterbotten.txt,exact_label,SWE
103,103-Croatia.txt,103,103-Croatia.txt,exact_label,YUG
1030,1030-Varmland.txt,919,919-Varmland.txt,exact_label,SWE
1031,1031-Opplandene.txt,920,920-Opplandene.txt,exact_label,NOR
1032,1032-Telemark.txt,921,921-Telemark.txt,exact_label,NOR
1033,1033-Helgeland.txt,923,923-Helgeland.txt,exact_label,NOR
1034,1034-Troms.txt,924,924-Troms.txt,exact_label,NOR
1035,1035-Finnmark.txt,925,925-Finnmark.txt,exact_label,NOR
1036,1036-Turku.txt,926,926-Turku.txt,exact_label,FIN
1037,1037-Hame.txt,927,927-Hame.txt,exact_label,FIN
1038,1038-Kyme.txt,928,928-Kyme.txt,exact_label,FIN
1039,1039-Oulu.txt,929,929-Oulu.txt,exact_label,FIN
104,104-Bosnia.txt,104,104-Bosnia.txt,exact_label,YUG
1040,1040-Mikkeli.txt,930,930-Mikkeli.txt,exact_label,FIN
1041,1041-Cumbria.txt,931,931-Cumbria.txt,exact_label,ENG
1042,1042-Isle of Man.txt,932,932-Isle of Man.txt,exact_label,ENG
1043,1043-Suourland.txt,,,owner_transition,GER
1044,1044-Nakhchivan.txt,,,owner_transition,SOV
1045,1045-Basra.txt,,,owner_transition,TUR
1046,1046-Karbala.txt,,,owner_transition,TUR
1047,1047-Dulaim.txt,,,owner_transition,TUR
1048,1048-Sulymaniyah.txt,,,owner_transition,TUR
1049,1049-Erbil.txt,,,owner_transition,TUR
105,105-Montenegro.txt,105,105-Montenegro.txt,exact_label,YUG
1050,1050-Guantanamo Bay.txt,,,owner_transition,USA
1051,1051-Choco.txt,,,owner_transition,SPR
1052,1052-Acre.txt,940,940 - Acre.txt,exact_label,BRA
